German,English
abgeben,to hand in; to give back
allein,alone
also,so; therefore
alt,old
an,at; on; to
anbieten,to offer
der Anfang,beginning
anfangen,to start
das Angebot,offer; deal
anklicken,to click (on)
ankommen,to arrive
ankreuzen,to tick; to check (a box)
die Ankunft,arrival
anmachen,to switch on
die Anmeldung,registration
die Anrede,salutation
der Anruf,phone call
der Anrufbeantworter,answering machine
anrufen,to call (by phone)
die Ansage,announcement
der Anschluss,connection (transfer)
an sein,to be on (switched on)
die Antwort,answer
die Anzeige,ad; notice
auf,on; onto
die Aufgabe,task; exercise
aufhören,to stop
auf sein,to be open
aufstehen,to get up
der Aufzug,elevator; lift
das Auge,eye
der Ausflug,excursion; trip
ausfüllen,to fill out
das Ausland,abroad
der Ausländer,foreigner
ausmachen,to switch off; to turn off
die Aussage,statement
aussehen,to look (appear)
aus sein,to be off; to be over
aussteigen,to get off (bus/train)
der Ausweis,ID; identification
ausziehen,to take off (clothes)
die Autobahn,highway; motorway
der Automat,vending machine; machine
automatisch,automatic(ally)
das Bad,bathroom; bath
baden,to bathe
der Bahnsteig,platform
bald,soon
der Balkon,balcony
bar,cash; in cash
der Bauch,stomach; belly
der Baum,tree
der Beamte,official; clerk
bedeuten,to mean
beginnen,to begin
bei,at; with; near
beide,both
das Bein,leg
das Beispiel,example
zum Beispiel/z. B.,for example
bekannt,well known
der Bekannte,acquaintance
bekommen,to get; to receive
benutzen,to use
der Beruf,profession; job
besser,better
bestellen,to order
besuchen,to visit
bezahlen,to pay
das Bild,picture
die Birne,pear
bis,until; to
bisschen,a little
die Bitte,request
bitten,to ask; to request
bitter,bitter
bleiben,to stay; to remain
der Bleistift,pencil
der Blick,view; glance
der Bogen,sheet; form
böse,angry; mean
brauchen,to need
breit,wide
der Brief,letter
die Briefmarke,stamp
das Brötchen,roll; bread roll
der Buchstabe,letter (alphabet)
buchstabieren,to spell
der Chef,boss
circa/ca.,approximately; approx.
da,there; here
die Dame,lady; woman
daneben,next to it; beside it
dann,then
das Datum,date
dauern,to last; to take (time)
denn,because; then (question particle)
dich,"you (accusative, informal)"
dies,this; these
dir,"you (dative, informal)"
das Doppelzimmer,double room
das Dorf,village
dort,there
draußen,outside
drucken,to print
der Drucker,printer
drücken,to press; to push
durch,through
die Durchsage,announcement
dürfen,to be allowed to
der Durst,thirst
die Ecke,corner
die Ehefrau,wife
der Ehemann,husband
eilig,in a hurry
einfach,simple; one way
ab,from; starting (from)
abfliegen,to take off (by plane)
der Abflug,departure (flight)
abholen,to pick up
der Absender,sender
Achtung,attention; warning
die Adresse,address
das Alter,age
antworten,to answer
der Apfel,apple
der Appetit,appetite
die Arbeit,work; job
arbeiten,to work
arbeitslos,unemployed
der Arbeitsplatz,workplace
der Arm,arm
der Arzt,doctor
auch,also; too
ausländisch,foreign
das Auto,car
das Baby,baby
die Bäckerei,bakery
die Bahn,train; railway
der Bahnhof,station
die Banane,banana
die Bank,bank; bench
besetzt,busy (phone); occupied
besichtigen,to visit (sights); to tour
am besten,best; ideally
das Bett,bed
das Bier,beer
billig,cheap
bitte,please; you're welcome
die Blume,flower
bringen,to bring
das Brot,bread
der Bruder,brother
das Buch,book
der Bus,bus
die Butter,butter
das Café,café
die CD,CD
der Computer,computer
danken,to thank
der Dank,thanks
danke,thanks
dein,your (informal)
"der, die, das",the (definite articles)
die Disco,club; disco
der Doktor,doctor
duschen,to shower
die Dusche,shower
das Ei,egg
ein,a; one
aber,but
abfahren,to depart
die Abfahrt,departure
das Apartment,apartment
aus,out of; from
der Eingang,entrance
einkaufen,to shop
einladen,to invite
die Einladung,invitation
einmal,once
einsteigen,to get on (bus/train)
der Eintritt,admission (fee)
das Einzelzimmer,single room
die Eltern,parents
die E-Mail,email
der Empfänger,recipient
empfehlen,to recommend
enden,to end
das Ende,end
entschuldigen,to excuse
die Entschuldigung,excuse; apology
er,he
das Ergebnis,result
erklären,to explain
erlauben,to allow; to permit
der Erwachsene,adult
erzählen,to tell; to narrate
es,it
essen,to eat
das Essen,food; meal
euer,"your (plural, informal)"
fahren,to drive; to go (by vehicle)
der Fahrer,driver
die Fahrkarte,ticket
das Fahrrad,bicycle
falsch,wrong
die Familie,family
der Familienname,last name; family name
der Familienstand,marital status
die Farbe,color
das Fax,fax
Feierabend,after work
Feiertag,public holiday
feiern,to celebrate
fehlen,to be missing; to be absent
der Fehler,mistake
fernsehen,to watch TV
fertig,finished; ready
das Feuer,fire
das Fieber,fever
der Film,film; movie
finden,to find
die Firma,company
der Fisch,fish
die Flasche,bottle
das Fleisch,meat
fliegen,to fly
der Flughafen,airport
das Flugzeug,airplane
das Formular,form
das Foto,photo
fragen,to ask
die Frage,question
die Frau,woman; Mrs.
frei,free; available
die Freizeit,free time
fremd,strange; foreign
freuen,to be happy; to look forward to
der Freund,friend
früher,earlier; in the past
frühstücken,to have breakfast
das Frühstück,breakfast
die Führung,tour; guided tour
für,for
der Fuß,foot
der Fußball,football; soccer
der Garten,garden
der Gast,guest
geben,to give
geboren,born
das Geburtsjahr,year of birth
der Geburtsort,place of birth
der Geburtstag,birthday
gefallen,to like; to please
gegen,against
gehen,to go
Wie geht's?,How are you?
gehören,to belong
das Geld,money
das Gemüse,vegetables
das Gepäck,luggage
gerade,just; right now
geradeaus,straight ahead
gern,gladly; like to
das Geschäft,shop; business
das Geschenk,gift
die Geschwister,siblings
das Gespräch,conversation
gestern,yesterday
gestorben,died
das Getränk,drink
das Gewicht,weight
gewinnen,to win
das Glas,glass
das Gleis,platform (track)
das Glück,luck
glücklich,happy
der Glückwunsch,congratulations
Grad (Celsius),degree (Celsius)
gratulieren,to congratulate
grillen,to grill; to barbecue
groß,big; tall
die Größe,size
die Großeltern,grandparents
die Großmutter,grandmother
der Großvater,grandfather
die Gruppe,group
der Gruß,greeting
gültig,valid
günstig,cheap; favorable
gut,good
Guten Morgen,Good morning
Guten Tag,Good day
Guten Appetit,Enjoy your meal
das Haar,hair
haben,to have
das Hähnchen,chicken
die Halbpension,half board
die Halle,hall
hallo,hello
halten,to stop; to hold
die Haltestelle,stop (bus/tram)
die Hand,hand
das Handy,mobile phone
das Haus,house
zu Hause,at home
die Hausaufgabe,homework
die Hausfrau,housewife
der Hausmann,househusband
die Heimat,home; homeland
heiraten,to marry
heißen,to be called; to be named
helfen,to help
hell,bright
der Herd,stove
der Herr,Mr.; gentleman
herzlich,heartfelt
heute,today
hier,here
die Hilfe,help
hinten,at the back
das Hobby,hobby
hoch,high
die Hochzeit,wedding
holen,to get; to fetch
hören,to hear; to listen
das Hotel,hotel
der Hund,dog
der Hunger,hunger
ich,I
immer,always
in,in
die Information,information desk; information
international,international
das Internet,internet
ja,yes
die Jacke,jacket
jed-,each; every
jetzt,now
der Job,job
der Jugendliche,young person; teenager
jung,young
der Junge,boy
der Kaffee,coffee
kaputt,broken
die Karte,card; map
Kreditkarte,credit card
die Kartoffel,potato
die Kasse,checkout; cash desk
kaufen,to buy
kein,no; none
kennen,to know (be familiar)
kennenlernen,to get to know
das Kind,child
der Kindergarten,kindergarten
das Kino,cinema
der Kiosk,kiosk
klar,clear; sure
die Klasse,class
die Kleidung,clothing
klein,small
kochen,to cook
der Koffer,suitcase
der Kollege,colleague (male)
kommen,to come
können,can; to be able to
das Konto,account
der Kopf,head
kosten,to cost
krank,sick
kriegen,to get
die Küche,kitchen
der Kuchen,cake
der Kugelschreiber,pen
der Kühlschrank,fridge
kulturell,cultural
sich kümmern,to take care (of)
der Kunde,customer (male)
der Kurs,course
kurz,short
lachen,to laugh
der Laden,shop
das Land,country
lang,long
lange,for a long time; how long
langsam,slow
laufen,to walk; to run
laut,loud
leben,to live
das Leben,life
Lebensmittel,groceries; food
ledig,single
legen,to put; to lay
der Lehrer,teacher (male)
leicht,light; easy
leider,unfortunately
leise,quiet
lernen,to learn
lesen,to read
letzt-,last
die Leute,people
das Licht,light
lieb,dear; nice
lieben,to love
lieber,rather
Lieblings-,favorite
das Lied,song
liegen,to lie; to be located
links,left
der Lkw,truck
das Lokal,restaurant; pub
die Lösung,solution
lustig,funny
machen,to do; to make
das Mädchen,girl
man,one; you (impersonal)
der Mann,man; husband
männlich,male
die Maschine,machine
das Meer,sea
mehr,more
mein,my
meist-,most; mostly
der Mensch,person; human
mieten,to rent
die Miete,rent
die Milch,milk
mit,with
mitbringen,to bring along
mitkommen,to come along
mitmachen,to join in
mitnehmen,to take along
die Mitte,middle
die Möbel,furniture
möchten,would like
mögen,to like
möglich,possible
der Moment,moment
morgen,tomorrow
müde,tired
der Mund,mouth
müssen,must; to have to
die Mutter,mother
nach,after; to
nächst-,next
der Name,name
nehmen,to take
nein,no
neu,new
nicht,not
nichts,nothing
nie,never
noch,still; yet
normal,normal
die Nummer,number
nur,only
oben,above; upstairs
das Obst,fruit
oder,or
öffnen,to open
geöffnet,open (shop)
oft,often
ohne,without
die Oma,grandma
der Opa,grandpa
die Ordnung,order; okay
in Ordnung,okay
der Ort,place; town
das Papier,paper
die Papiere,papers; documents
der Partner,partner (male)
die Partnerin,partner (female)
die Party,party
der Pass,passport
die Pause,break
der Plan,plan
der Platz,seat; place
die Polizei,police
Pommes frites,french fries
die Post,post office; mail
die Postleitzahl,postal code
das Praktikum,internship
die Praxis,practice; doctor's office
der Preis,price
die Preise,prices
das Problem,problem
der Prospekt,brochure
die Prüfung,exam
pünktlich,punctual; on time
Rad fahren,to ride a bike
rauchen,to smoke
der Raum,room
die Rechnung,bill; invoice
rechts,right
regnen,to rain
der Regen,rain
der Reis,rice
reisen,to travel
die Reise,trip; journey
das Reisebüro,travel agency
der Reiseführer,travel guide
reparieren,to repair
die Reparatur,repair
das Restaurant,restaurant
die Rezeption,reception
richtig,correct; right
riechen,to smell
ruhig,quiet; calm
der Saft,juice
sagen,to say
samstags,on Saturdays
sauber,clean
sauer,sour
schade,a pity
schädlich,harmful
scharf,spicy; sharp
scheinen,to shine; to seem
schenken,to give (as a gift)
schimpfen,to scold
schlecht,bad
schließen,to close
geschlossen,closed
der Schluss,end; conclusion
der Schlüssel,key
schmecken,to taste
schnell,fast
schön,beautiful; nice
schon,already
der Schrank,cupboard; wardrobe
schrecklich,terrible
schreiben,to write
schriftlich,written
schwach,weak
schwanger,pregnant
schwer,heavy; difficult
schwimmen,to swim
das Schwimmbad,swimming pool
der See,lake
sehen,to see
die Sehenswürdigkeit,sight; attraction
sehr,very
Danke sehr,thank you very much
sein,to be
seit,since; for
selbstständig,self employed
sich,oneself; reflexive pronoun
sie,she; they
Sie,you (formal)
sitzen,to sit
so,so; like this
sofort,immediately
sollen,should; supposed to
Sommer,summer
die Sonne,sun
spät,late
später,later
die Speisekarte,menu
spielen,to play
der Sport,sport
die Sprache,language
sprechen,to speak
die Stadt,city; town
stehen,to stand
die Stelle,position; job
stellen,to put; to place
der Stock,floor; storey
die Straße,street
die Straßenbahn,tram
studieren,to study (university)
das Studium,studies; degree program
der Student,student (male)
die Stunde,hour
suchen,to look for
tanzen,to dance
die Tasche,bag
das Taxi,taxi
der Tee,tea
telefonieren,to call (by phone)
das Telefon,telephone
der Termin,appointment
der Test,test
teuer,expensive
der Text,text
das Thema,topic
das Ticket,ticket
der Tisch,table
die Tochter,daughter
die Toilette,toilet
die Tomate,tomato
tot,dead
treffen,to meet
die Treppe,stairs
trinken,to drink
tschüss,bye
tun,to do
über,across; over; about
übernachten,to stay overnight
überweisen,to transfer (money)
die Uhr,clock; watch
um,at; around
umziehen,to move; to change clothes
und,and
unser,our
unten,downstairs; below
unter,under
der Unterricht,lesson; class
unterschreiben,to sign
die Unterschrift,signature
der Urlaub,vacation
der Vater,father
verboten,forbidden
verdienen,to earn
der Verein,club; association
verheiratet,married
verkaufen,to sell
der Verkäufer,salesperson (male)
vermieten,to rent out
vermietet,rented
der Vermieter,landlord (male)
verstehen,to understand
der Verwandte,relative
viel,much; many
vielleicht,maybe
von,from; of
vor,before; in front of
der Vorname,first name
die Vorsicht,caution
(sich) vorstellen,to introduce oneself
die Vorwahl,area code
wandern,to hike
wann,when
warten,to wait
warum,why
das Salz,salt
das Schild,"sign, notice"
das Sofa,"sofa, couch"
das Wasser,water
das Wetter,weather
das Wiederhören,goodbye (on the phone)
das Wiedersehen,goodbye (see you again)
das Wort,word
das Zimmer,room
das Öl,oil
dein-,your
der Ausgang,exit
der Salat,salad
der Schalter,"counter, switch"
der Schinken,ham
der Schuh,shoe
der Schüler,"pupil, student"
der Sohn,son
der Teil,part
der Wein,wine
der Wind,wind
der Zoll,customs
der Zug,train
der/die Bekannte,acquaintance
die Auskunft,information
die Pommes frites (pl.),fries
die S-Bahn,suburban train
die Schule,school
die Schwester,sister
die Welt,world
die Wohnung,"apartment, flat"
die Zeit,time
die Zeitung,newspaper
die Zigarette,cigarette
dies-,"this, these"
ein-,"a, an, one"
Feier-,"celebration, party"
gern(e),"gladly, with pleasure"
glauben,to believe
gleich,"same, right away"
ihr,"to her, her, their"
ihm,to him
ihn,him
lieb-,"dear, kind"
Satz,sentence
schicken,to send
schlafen,to sleep
unser-,our
was,what
was für ein,what kind of a
weg sein,"to be gone, to be away"
weh tun,to hurt
weiblich,female
weit,far
weiter,"further, on"
welch-,"which, what"
wenig,"little, few"
wer,who
werden,to become
wichtig,important
wie,how
wie viel,"how much, how many"
wiederholen,to repeat
willkommen,welcome
wir,we
wissen,to know
wo,where
woher,from where
wohin,to where
wohnen,to live
wollen,to want
wunderbar,wonderful
zahlen,to pay
zu sein,to be
zufrieden,satisfied
zurzeit,currently
zurück,back
zusammen,together
zwischen,between
